date,0288ae776393eac1b8777d0956869e827da48fe38fffbe68ca81f1a5be6bbf52,04db7f85cb4e19ffbc88ad91860ed26e46c2c646614774dc6aaf23f0452c8184,OT
2020/11/5 21:59,300599,683290,983889
2020/11/5 22:59,314912,617995,932907
2020/11/5 23:59,349833,510256,860089
2020/11/12 0:59,462685,408634,871319
2020/11/12 1:59,463007,265162,728169
2020/11/12 2:59,314292,199681,513973
2020/11/12 3:59,316826,152801,469627
2020/11/12 4:59,296575,151756,448331
2020/11/12 5:59,331875,231700,563575
2020/11/12 6:59,369158,425481,794639
2020/11/12 7:59,374280,598568,972848
2020/11/12 8:59,325928,836660,1162588
2020/11/12 9:59,343173,699409,1042582
2020/11/12 10:59,320817,729360,1050177
2020/11/12 11:59,323208,792990,1116198
2020/11/12 12:59,240031,791418,1031449
2020/11/12 13:59,207819,660968,868787
2020/11/12 14:59,148622,636055,784677
2020/11/12 15:59,244189,636284,880473
2020/11/12 16:59,44713,715593,760306
2020/11/12 17:59,38369,833874,872243
2020/11/12 18:59,49794,821107,870901
2020/11/12 19:59,115509,789016,904525
2020/11/12 20:59,211737,728599,940336
2020/11/12 21:59,258835,664541,923376
2020/11/12 22:59,274557,604860,879417
2020/11/12 23:59,317993,486049,804042
2020/11/20 0:59,446722,404733,851455
2020/11/20 1:59,439653,251981,691634
2020/11/20 2:59,299042,186244,485286
2020/11/20 3:59,292021,150640,442661
2020/11/20 4:59,289287,143655,432942
2020/11/20 5:59,306408,233794,540202
2020/11/20 6:59,353129,430235,783364
2020/11/20 7:59,350981,589923,940904
2020/11/20 8:59,311373,699235,1010608
2020/11/20 9:59,327533,713635,1041168
2020/11/20 10:59,355947,730106,1086053
2020/11/20 11:59,329914,768556,1098470
2020/11/20 12:59,266202,766568,1032770
2020/11/20 13:59,177830,669914,847744
2020/11/20 14:59,102626,692202,794828
2020/11/20 15:59,62842,637225,700067
2020/11/20 16:59,42861,721036,763897
2020/11/20 17:59,33268,825042,858310
2020/11/20 18:59,38443,774871,813314
2020/11/20 19:59,81167,791411,872578
2020/11/20 20:58,154509,738017,892526
2020/11/20 21:59,220133,679818,899951
2020/11/20 22:59,260344,609009,869353
2020/11/20 23:59,316290,511976,828266
2020/11/22 0:59,427140,411071,838211
2020/11/22 1:59,418224,271213,689437
2020/11/22 2:59,304466,196332,500798
2020/11/22 3:59,293287,160672,453959
2020/11/22 4:59,281306,142214,423520
2020/11/22 5:59,306008,197279,503287
2020/11/22 6:59,337387,337948,675335
2020/11/22 7:59,327962,480794,808756
2020/11/22 8:59,288437,569727,858164
2020/11/22 9:59,303577,634605,938182
2020/11/22 10:59,268270,681884,950154
2020/11/22 11:59,253490,731415,984905
2020/11/22 12:59,191992,729300,921292
2020/11/22 13:59,184272,662125,846397
2020/11/22 14:59,94354,648254,742608
2020/11/22 15:59,58948,628799,687747
2020/11/22 16:59,28431,702480,730911
2020/11/22 17:59,139940,791687,931627
2020/11/22 18:59,46015,760731,806746
2020/11/22 19:59,106069,710475,816544
2020/11/22 20:59,198995,688731,887726
2020/11/22 21:59,248479,626325,874804
2020/11/22 22:59,264499,550157,814656
2020/11/22 23:59,332368,448683,781051
2020/11/25 0:59,450632,368217,818849
2020/11/25 1:59,455667,232122,687789
2020/11/25 2:59,315001,249862,564863
2020/11/25 3:59,392211,229475,621686
2020/11/25 4:59,344266,156272,500538
2020/11/25 5:59,317005,210140,527145
2020/11/25 6:59,359113,384383,743496
2020/11/25 7:59,356258,538877,895135
2020/11/25 8:59,326329,599082,925411
2020/11/25 9:59,328662,613246,941908
2020/11/25 10:59,292543,647877,940420
2020/11/25 11:59,287745,718990,1006735
2020/11/25 12:59,218796,722433,941229
2020/11/25 13:59,180348,622397,802745
2020/11/25 14:59,91213,595916,687129
2020/11/25 15:59,60491,608452,668943
2020/11/25 16:59,46501,668438,714939
2020/11/25 17:59,36215,757370,793585
2020/11/25 18:59,46015,773696,819711
2020/11/25 19:59,110034,742912,852946
2020/11/25 20:59,202260,717350,919610
2020/11/25 21:59,251011,655256,906267
2020/11/25 22:59,282127,591507,873634
2020/11/25 23:59,358554,466592,825146
2020/11/26 0:59,480595,379786,860381
2020/11/26 1:59,482423,239732,722155
2020/11/26 2:59,322416,178112,500528
2020/11/26 3:59,342071,145655,487726
2020/11/26 4:59,320663,138310,458973
2020/11/26 5:59,329671,212113,541784
2020/11/26 6:59,367798,394458,762256
2020/11/26 7:59,362459,562891,925350
2020/11/26 8:59,317312,628786,946098
2020/11/26 9:59,329867,631963,961830
2020/11/26 10:59,290452,673049,963501
2020/11/26 11:59,272257,726511,998768
2020/11/26 12:59,210379,724160,934539
2020/11/26 13:59,199098,616506,815604
2020/11/26 14:59,92779,597474,690253
2020/11/26 15:59,64105,601845,665950
2020/11/26 16:59,47351,660613,707964
2020/11/26 17:59,37765,751641,789406
2020/11/26 18:59,48367,770019,818386
2020/11/26 19:59,110998,722703,833701
2020/11/26 20:59,203992,702929,906921
2020/11/26 21:59,252420,679681,932101
2020/11/26 22:59,272287,579957,852244
2020/11/26 23:59,322664,476361,799025
2020/11/27 0:59,449934,388929,838863
2020/11/27 1:59,446798,249771,696569
2020/11/27 2:59,308955,174804,483759
2020/11/27 3:59,305375,145727,451102
2020/11/27 4:59,289415,132164,421579
2020/11/27 5:59,314827,208721,523548
2020/11/27 6:59,357948,397228,755176
2020/11/27 7:59,354226,560072,914298
2020/11/27 8:59,318917,632395,951312
2020/11/27 9:59,316968,665455,982423
2020/11/27 10:59,292862,728730,1021592
2020/11/27 11:59,300765,731857,1032622
2020/11/27 12:59,224714,732718,957432
2020/11/27 13:59,217112,632470,849582
2020/11/27 14:59,137130,614141,751271
2020/11/27 15:59,59691,618504,678195
2020/11/27 16:59,44231,689796,734027
2020/11/27 17:59,36552,784169,820721
2020/11/27 18:59,42833,790720,833553
2020/11/27 19:59,86943,762677,849620
2020/11/27 20:59,163634,709011,872645
2020/11/27 21:59,225103,688574,913677
2020/11/27 22:59,257223,593927,851150
2020/11/27 23:59,332766,490528,823294
2020/11/28 0:59,450538,410326,860864
2020/11/28 1:59,436754,264064,700818
2020/11/28 2:59,318524,178744,497268
2020/11/28 3:59,309089,148309,457398
2020/11/28 4:59,293973,133910,427883
2020/11/28 5:59,333082,197139,530221
2020/11/28 6:59,364943,349142,714085
2020/11/28 7:59,347970,506646,854616
2020/11/28 8:59,315754,575155,890909
2020/11/28 9:59,316129,621054,937183
2020/11/28 10:59,304459,682503,986962
2020/11/28 11:59,300290,734033,1034323
2020/11/28 12:59,226574,730466,957040
2020/11/28 13:59,194280,658831,853111
2020/11/28 14:59,99790,639339,739129
2020/11/28 15:59,66118,624727,690845
2020/11/28 16:59,48471,698642,747113
2020/11/28 17:59,37943,777741,815684
2020/11/28 18:59,43816,770280,814096
2020/11/28 19:59,82652,738222,820874
2020/11/28 20:59,151837,695755,847592
2020/11/28 21:59,221748,660710,882458
2020/11/28 22:59,262491,581958,844449
2020/11/28 23:59,326518,486031,812549
2020/11/29 0:59,454357,403606,857963
2020/11/29 1:59,433288,263477,696765
2020/11/29 2:59,327376,188378,515754
2020/11/29 3:59,315932,148988,464920
2020/11/29 4:59,300428,131186,431614
2020/11/29 5:59,338207,184822,523029
2020/11/29 6:59,355050,325512,680562
2020/11/29 7:59,346829,474743,821572
2020/11/29 8:59,304247,532529,836776
2020/11/29 9:59,314699,598370,913069
2020/11/29 10:59,284397,654592,938989
2020/11/29 11:59,280102,724948,1005050
2020/11/29 12:59,208821,702743,911564
2020/11/29 13:59,101943,660510,762453
2020/11/29 14:59,54381,637398,691779
2020/11/29 15:59,40240,621863,662103
2020/11/29 16:59,65457,681699,747156
2020/11/29 17:59,99250,770233,869483
2020/11/29 18:59,185748,787976,973724
2020/11/29 19:59,304911,718140,1023051
2020/11/29 20:59,368461,693363,1061824
2020/11/29 21:59,356103,651404,1007507
2020/11/29 22:59,318173,561019,879192
2020/11/29 23:59,101006,462118,563124
2020/12/5 1:59,68727,256972,325699
2020/12/5 2:59,56324,184927,241251
2020/12/5 3:59,58734,148459,207193
2020/12/5 5:59,116217,193095,309312
2020/12/5 7:59,213166,502567,715733
2020/12/5 9:59,311185,946508,1257693
2020/12/5 10:59,342255,703294,1045549
2020/12/5 12:54,339688,808667,1148355
2020/12/5 13:59,303588,698231,1001819
2020/12/5 18:59,374530,796569,1171099
2020/12/5 19:59,135471,756727,892198
2020/12/5 20:59,669731,739186,1408917
2020/12/5 21:59,1128648,655927,1784575
2020/12/5 22:59,1173799,587199,1760998
2020/12/7 1:59,880713,246749,1127462
2020/12/7 2:59,812434,181399,993833
2020/12/7 3:59,846098,146901,992999
2020/12/7 5:59,951553,222306,1173859
2020/12/7 7:59,1069998,589677,1659675
2020/12/7 9:59,1054722,776009,1830731
2020/12/7 10:59,914240,808845,1723085
2020/12/7 12:59,628416,974002,1602418
2020/12/7 13:59,491147,669433,1160580
2020/12/7 18:59,220135,801328,1021463
2020/12/7 19:59,102200,755584,857784
2020/12/7 20:59,79687,730560,810247
2020/12/7 21:59,97966,663428,761394
2020/12/7 22:59,252559,598653,851212
2020/12/19 0:59,504803,413823,918626
2020/12/19 4:59,761827,137428,899255
2020/12/19 6:59,904410,317580,1221990
2020/12/19 8:59,844458,622581,1467039
2020/12/19 11:59,758983,797660,1556643
