date,0131eef5ec10be23b05c6374c3c96876ffa3d77b53457976d730ed0278c1213a,0302d31515d7968f1fa9a590b91d12bc6ea570f0c37c5f8b4ae7939eaef12911,OT
2020/11/12 18:59,73481,126836,200317
2020/11/12 19:59,59090,112567,171657
2020/11/12 20:59,53494,100892,154386
2020/11/12 21:59,41161,90456,131617
2020/11/12 22:59,28196,72273,100469
2020/11/12 23:59,18970,52002,70972
2020/11/20 0:59,11180,45274,56454
2020/11/20 1:59,9263,21038,30301
2020/11/20 2:59,6074,12539,18613
2020/11/20 3:59,5180,7906,13086
2020/11/20 4:59,7791,6690,14481
2020/11/20 5:59,30472,11057,41529
2020/11/20 6:59,66618,36319,102937
2020/11/20 7:59,71100,76305,147405
2020/11/20 8:59,66187,92481,158668
2020/11/20 9:59,68029,87848,155877
2020/11/20 10:59,95743,103651,199394
2020/11/20 11:59,102306,126914,229220
2020/11/20 12:59,57242,132446,189688
2020/11/20 13:59,50458,90985,141443
2020/11/20 14:59,57707,82405,140112
2020/11/20 15:59,69675,83949,153624
2020/11/20 16:59,86488,97827,184315
2020/11/20 17:58,85040,123355,208395
2020/11/20 18:59,69318,127522,196840
2020/11/20 19:59,59429,114815,174244
2020/11/20 20:59,52443,104019,156462
2020/11/20 21:59,41577,92913,134490
2020/11/20 22:59,28544,74217,102761
2020/11/20 23:59,19990,54043,74033
2020/11/22 0:59,12539,45088,57627
2020/11/22 1:59,9034,22515,31549
2020/11/22 2:59,7127,12793,19920
2020/11/22 3:59,6029,9261,15290
2020/11/22 4:59,6548,7558,14106
2020/11/22 5:59,17942,10717,28659
2020/11/22 6:59,40976,30673,71649
2020/11/22 7:59,55695,66437,122132
2020/11/22 8:59,63822,85091,148913
2020/11/22 9:59,77677,87235,164912
2020/11/22 10:59,88550,105678,194228
2020/11/22 11:59,88250,133074,221324
2020/11/22 12:59,65061,140918,205979
2020/11/22 13:59,59496,104724,164220
2020/11/22 14:59,65282,91140,156422
2020/11/22 15:59,75072,91678,166750
2020/11/22 16:59,83879,104920,188799
2020/11/22 17:59,79496,124177,203673
2020/11/22 18:59,66230,126693,192923
2020/11/22 19:59,54394,115883,170277
2020/11/22 20:59,46623,108173,154796
2020/11/22 21:59,34234,98765,132999
2020/11/22 22:59,24058,78177,102235
2020/11/22 23:59,18535,56625,75160
2020/11/25 0:59,12324,45863,58187
2020/11/25 1:59,9150,20381,29531
2020/11/25 2:59,4011,13835,17846
2020/11/25 3:59,6032,8608,14640
2020/11/25 4:59,6749,9157,15906
2020/11/25 5:59,27181,10620,37801
2020/11/25 6:59,63197,35020,98217
2020/11/25 7:59,69536,75990,145526
2020/11/25 8:59,62837,92858,155695
2020/11/25 9:59,63098,87181,150279
2020/11/25 10:59,89639,104153,193792
2020/11/25 11:59,98868,128525,227393
2020/11/25 12:59,54038,135593,189631
2020/11/25 13:59,45803,91620,137423
2020/11/25 14:59,52382,81352,133734
2020/11/25 15:59,65982,90583,156565
2020/11/25 16:59,81442,102072,183514
2020/11/25 17:59,78658,124902,203560
2020/11/25 18:59,61883,128367,190250
2020/11/25 19:59,50890,112249,163139
2020/11/25 20:59,45332,102601,147933
2020/11/25 21:59,35255,91849,127104
2020/11/25 22:59,24270,73149,97419
2020/11/25 23:59,17898,52489,70387
2020/11/26 0:59,11609,44860,56469
2020/11/26 1:59,9753,21495,31248
2020/11/26 2:59,6500,13309,19809
2020/11/26 3:59,5276,9640,14916
2020/11/26 4:59,6936,7965,14901
2020/11/26 5:59,26562,10710,37272
2020/11/26 6:59,64233,35061,99294
2020/11/26 7:59,65609,77070,142679
2020/11/26 8:59,59118,93540,152658
2020/11/26 9:59,62626,87422,150048
2020/11/26 10:59,87146,104429,191575
2020/11/26 11:59,96511,128339,224850
2020/11/26 12:59,55048,136564,191612
2020/11/26 13:59,45646,92249,137895
2020/11/26 14:59,53290,82437,135727
2020/11/26 15:59,65336,85540,150876
2020/11/26 16:59,81151,100013,181164
2020/11/26 17:59,79999,127263,207262
2020/11/26 18:59,62046,131948,193994
2020/11/26 19:59,52061,121637,173698
2020/11/26 20:59,46195,106029,152224
2020/11/26 21:59,34260,95692,129952
2020/11/26 22:59,24330,76927,101257
2020/11/26 23:59,18289,56230,74519
2020/11/27 0:59,11362,47895,59257
2020/11/27 1:59,8548,21105,29653
2020/11/27 2:59,5954,12706,18660
2020/11/27 3:59,5209,9477,14686
2020/11/27 4:59,6999,7320,14319
2020/11/27 5:59,26598,10588,37186
2020/11/27 6:59,61952,35746,97698
2020/11/27 7:59,67308,77460,144768
2020/11/27 8:59,59679,94131,153810
2020/11/27 9:59,63490,87721,151211
2020/11/27 10:59,89778,104362,194140
2020/11/27 11:59,98462,129664,228126
2020/11/27 12:59,56771,136728,193499
2020/11/27 13:59,47550,93493,141043
2020/11/27 14:59,55460,84782,140242
2020/11/27 15:59,65821,86311,152132
2020/11/27 16:59,81106,100213,181319
2020/11/27 17:59,79222,125711,204933
2020/11/27 18:59,65137,129318,194455
2020/11/27 19:59,55136,115794,170930
2020/11/27 20:59,49279,105177,154456
2020/11/27 21:59,37099,91261,128360
2020/11/27 22:59,27035,74011,101046
2020/11/27 23:59,19942,54696,74638
2020/11/28 0:59,11524,46156,57680
2020/11/28 1:59,8456,21734,30190
2020/11/28 2:59,6456,13522,19978
2020/11/28 3:59,5078,9501,14579
2020/11/28 4:59,6538,7293,13831
2020/11/28 5:59,20726,10844,31570
2020/11/28 6:59,46718,32315,79033
2020/11/28 7:59,58461,70859,129320
2020/11/28 8:59,63694,88689,152383
2020/11/28 9:59,74891,86232,161123
2020/11/28 10:59,90871,105651,196522
2020/11/28 11:59,93797,132293,226090
2020/11/28 12:59,65431,140553,205984
2020/11/28 13:59,57236,99426,156662
2020/11/28 14:59,64053,89780,153833
2020/11/28 15:59,73436,90236,163672
2020/11/28 16:59,84499,104762,189261
2020/11/28 17:59,79595,126632,206227
2020/11/28 18:59,66248,134859,201107
2020/11/28 19:59,55922,117770,173692
2020/11/28 20:59,48631,105382,154013
2020/11/28 21:59,37545,94769,132314
2020/11/28 22:59,25158,75847,101005
2020/11/28 23:59,19062,56461,75523
2020/11/29 0:59,12042,46404,58446
2020/11/29 1:59,9794,22558,32352
2020/11/29 2:59,7171,14213,21384
2020/11/29 3:59,5347,8992,14339
2020/11/29 4:59,6017,7352,13369
2020/11/29 5:59,17666,10515,28181
2020/11/29 6:59,39684,30538,70222
2020/11/29 7:59,54022,66598,120620
2020/11/29 8:59,62832,86144,148976
2020/11/29 9:59,76291,85151,161442
2020/11/29 10:59,90810,105353,196163
2020/11/29 11:59,87845,133841,221686
2020/11/29 12:59,66756,140591,207347
2020/11/29 13:59,60357,102718,163075
2020/11/29 14:59,67213,90975,158188
2020/11/29 15:59,74552,92107,166659
2020/11/29 16:59,85794,104038,189832
2020/11/29 17:59,80225,123718,203943
2020/11/29 18:59,63263,127009,190272
2020/11/29 19:59,53540,117528,171068
2020/11/29 20:59,45577,106781,152358
2020/11/29 21:59,33300,97916,131216
2020/11/29 22:59,23061,79668,102729
2020/11/29 23:59,21433,57997,79430
2020/12/5 3:59,6546,10541,17087
2020/12/5 4:59,21280,8229,29509
2020/12/5 5:59,59627,14303,73930
2020/12/5 6:59,97916,53376,151292
2020/12/5 7:59,63945,98455,162400
2020/12/5 8:59,69080,115269,184349
2020/12/5 9:59,78311,114042,192353
2020/12/5 20:59,89230,114147,203377
2020/12/5 21:59,29167,99113,128280
2020/12/7 3:59,19131,8653,27784
2020/12/7 4:59,5833,6671,12504
2020/12/7 5:59,28069,10174,38243
2020/12/7 6:59,70466,31337,101803
2020/12/7 7:59,94624,64871,159495
2020/12/7 8:59,51096,86949,138045
2020/12/7 9:59,57009,92461,149470
2020/12/7 20:59,68975,117851,186826
2020/12/7 21:59,87470,100126,187596
2020/12/19 0:59,26615,59629,86244
2020/12/19 1:59,18516,26844,45360
2020/12/19 2:59,13847,15732,29579
2020/12/19 10:59,10788,134699,145487
2020/12/19 11:59,10837,183008,193845
2020/12/19 12:59,69982,193108,263090
2020/12/19 13:59,97862,135435,233297
2020/12/19 14:59,120079,113878,233957
2020/12/19 15:59,156551,119726,276277
2020/12/19 16:59,109105,140947,250052
2020/12/19 17:59,129361,179230,308591
2020/12/19 18:59,105676,181645,287321
2020/12/19 19:59,89512,159632,249144
2020/12/19 22:59,76788,99375,176163
2020/12/19 23:59,57612,76451,134063
2020/12/26 3:59,30800,10731,41531
2020/12/26 4:59,10899,9081,19980
2020/12/26 5:59,33381,14495,47876
2020/12/26 6:59,87172,53783,140955
2020/12/26 7:59,142934,118894,261828
2020/12/26 8:59,95529,133315,228844
2020/12/26 9:59,99057,128918,227975
2020/12/26 20:59,112514,139716,252230
2020/12/26 21:59,130815,123101,253916
